Entretien,Thème,Code,Verbatim,Fichier
D2SN1,1: Parcours Universitaire et Professionnel,1: Formation Académique,J'ai obtenu un baccalauréat économique et social en 2019.,D2SN1_segment_1.txt
D2SN1,1: Parcours Universitaire et Professionnel,2: Expérience en Alternance,"J'ai effectué un bachelor en 3 ans, une année en initial et les deux dernières années en tant que business développeur dans une start-up.",D2SN1_segment_1.txt
D2SN1,1: Parcours Universitaire et Professionnel,3: Spécialisation en Marketing Digital,J'ai effectué un master spécialisé en marketing digital à l'Institut supérieur du commerce.,D2SN1_segment_1.txt
D2SN1,1: Parcours Universitaire et Professionnel,4: Postes Occupés,Je suis customer success assistant dans l'entreprise Coinhouse depuis près de 2 ans.,D2SN1_segment_1.txt
D2SN1,1: Parcours Universitaire et Professionnel,5: Évolution de Carrière,"J'ai gravi les échelons dans mon domaine, passant de chargé de marketing à customer success manager.",D2SN1_segment_1.txt
D2SN1,1: Parcours Universitaire et Professionnel,6: Formation Continue,"Actuellement, j'entame un master spécialisé à Cage Business School en marketing digital et data.",D2SN1_segment_1.txt
D2SN1,1: Parcours Universitaire et Professionnel,7: Diversification des Compétences,J'ai développé des compétences dans le domaine commercial et marketing.,D2SN1_segment_1.txt
D2SN1,1: Parcours Universitaire et Professionnel,8: Activités en Alternance,J'ai effectué mon alternance chez Télétech en tant que chargé de marketing et de développement.,D2SN1_segment_1.txt
D2SN1,1: Parcours Universitaire et Professionnel,9: Contexte de Travail,Je travaille dans une entreprise spécialisée dans la vente de cryptoactif.,D2SN1_segment_1.txt
D2SN1,1: Parcours Universitaire et Professionnel,10: Progression dans le Domaine,J'ai commencé en tant que business développeur dans une start-up et maintenant je suis en alternance chez Coinhouse.,D2SN1_segment_1.txt
D2SN1,2: Perception de l'Intelligence Artificielle (IA),1: Définition de l'IA,"Je définirai l'IA comme un algorithme, un large language model qui regroupe une grande base de connaissance.",D2SN1_segment_1.txt
D2SN1,2: Perception de l'Intelligence Artificielle (IA),2: Utilité de l'IA,"Grâce à cette base de connaissance, on peut faire des requêtes directement et obtenir des réponses qui peuvent correspondre à de l'intelligence humaine.",D2SN1_segment_1.txt
D2SN1,2: Perception de l'Intelligence Artificielle (IA),3: Impact de l'IA,"L'effet waouh, c'est quelque chose qui a surpris tout le monde.",D2SN1_segment_1.txt
D2SN1,2: Perception de l'Intelligence Artificielle (IA),4: Accessibilité,C'est une base de connaissance disponible à tout le monde de manière très simple et très efficace.,D2SN1_segment_1.txt
D2SN1,2: Perception de l'Intelligence Artificielle (IA),5: Curiosité,Je suis parti voir ce que c'était quand j'ai entendu parler de Chat GPT pour la première fois.,D2SN1_segment_1.txt
D2SN1,2: Perception de l'Intelligence Artificielle (IA),6: Adoption par les Pairs,Tous mes collègues étaient également partis voir ce que c'était.,D2SN1_segment_1.txt
D2SN1,2: Perception de l'Intelligence Artificielle (IA),7: Impression Générale,C'était assez impressionnant.,D2SN1_segment_1.txt
D2SN1,2: Perception de l'Intelligence Artificielle (IA),8: Intégration dans le Quotidien,J'ai toujours un onglet Chat GPT ouvert dans mon quotidien.,D2SN1_segment_1.txt
