Entretien,Thème,Code,Verbatim,Fichier
LAU14,1: Interaction avec ChatGPT,1: Compréhension du fonctionnement de ChatGPT,Et ça je sais parce qu'on m'a appris par des vidéos ou des forums de recherche que ChatGPR fonctionne comme ça.,Lau14_segment_10.txt
LAU14,1: Interaction avec ChatGPT,2: Apport de sources pour une meilleure interprétation,"J'ai supposé du coup qu'en lui fournissant l'information, il pourrait l'interpréter mieux.",Lau14_segment_10.txt
LAU14,1: Interaction avec ChatGPT,3: Limitations de ChatGPT,"Dans ses phrases, on lisait des choses qui n'avaient pas de sens.",Lau14_segment_10.txt
LAU14,1: Interaction avec ChatGPT,4: Comparaison avec un humain,C'est comme un humain qui aurait mal compris un sujet.,Lau14_segment_10.txt
LAU14,1: Interaction avec ChatGPT,5: Nécessité de guider ChatGPT,"Le fait de lui redonner les sources, c'est voilà, mets tes pendules à l'heure, et on prend une bonne base.",Lau14_segment_10.txt
LAU14,1: Interaction avec ChatGPT,6: Réorientation des réponses,"Quand tu recevais pas forcément des réponses qui te satisfaisaient, tu réorientais la machine.",Lau14_segment_10.txt
LAU14,1: Interaction avec ChatGPT,7: Stratégie d'interaction,"Faudrait réessayer maintenant le prompt. Par curiosité, il faudrait réessayer d'avoir le même genre de discussion avec lui, mais avec un apport et un angle d'attaque différent.",Lau14_segment_10.txt
LAU14,1: Interaction avec ChatGPT,8: Personnalisation de l'interaction,"Tu aurais pu lui dire, genre « Tu es un chercheur de l'histoire de la bio-indication ».",Lau14_segment_10.txt
LAU14,1: Interaction avec ChatGPT,9: Vérification des sources,Toi-même t'as dit aussi que tu prenais pas forcément pour acquis ce qu'il te donnait comme source et du coup t'allais faire du fact-checking.,Lau14_segment_10.txt
LAU14,1: Interaction avec ChatGPT,10: Exploration de différentes approches,"Est-ce que t'as un petit peu d'autres manières, un petit peu de... de checker en fait ce qu'il te dit.",Lau14_segment_10.txt
LAU14,2: Vérification et Validation,1: Fact-checking,"Faire du fact-checking, c'est-à-dire vérifier l'information.",Lau14_segment_10.txt
LAU14,2: Vérification et Validation,2: Utilisation de sources externes,Soit tu prends l'information qu'ils te donnent et tu vas regarder sur internet ce que le monde scientifique en dit.,Lau14_segment_10.txt
LAU14,2: Vérification et Validation,3: Consultation de bases de données académiques,"Sur Google Scholar ou sur n'importe quelle base de données, tu mets une info.",Lau14_segment_10.txt
LAU14,2: Vérification et Validation,4: Contre-vérification,Tu vérifies qu'il a bien compris la source.,Lau14_segment_10.txt
LAU14,2: Vérification et Validation,5: Importance de la vérification,"C'est du fact-checking, on n'est pas sur Twitter non plus.",Lau14_segment_10.txt
LAU14,2: Vérification et Validation,6: Confrontation avec d'autres sources,Tu retrouves des milliers d'articles qui disent que non.,Lau14_segment_10.txt
